Entity URI,Role
http://dbpedia.org/resource/Anubis,belief
http://dbpedia.org/resource/Anubis,ceremony
http://dbpedia.org/resource/Anubis,cognition
http://dbpedia.org/resource/Anubis,communication
http://dbpedia.org/resource/Anubis,content
http://dbpedia.org/resource/Anubis,deity
http://dbpedia.org/resource/Anubis,event
http://dbpedia.org/resource/Anubis,funeral
http://dbpedia.org/resource/Anubis,hieroglyph
http://dbpedia.org/resource/Anubis,psychological feature
http://dbpedia.org/resource/Anubis,funerals
http://dbpedia.org/resource/Anubis,writing
http://dbpedia.org/resource/Anubis,written communication
http://dbpedia.org/resource/Anubis,yago permanently located entity
http://dbpedia.org/resource/Anubis,social event
http://dbpedia.org/resource/Anubis,spiritual being
http://dbpedia.org/resource/Anubis,death deities
http://dbpedia.org/resource/Anubis,egyptian hieroglyphs
http://dbpedia.org/resource/Anubis,agent
http://dbpedia.org/resource/Anubis,deity
http://dbpedia.org/resource/Anubis,record label
